Episode  1840 : the agent has obtained an average reward of  0.74  starting from position  [5, 3]
Episode  1850 : the agent has obtained an average reward of  0.8  starting from position  [5, 0]
Episode  1860 : the agent has obtained an average reward of  0.82  starting from position  [3, 1]
Episode  1870 : the agent has obtained an average reward of  0.78  starting from position  [2, 8]
Episode  1880 : the agent has obtained an average reward of  0.82  starting from position  [4, 0]
Episode  1890 : the agent has obtained an average reward of  0.72  starting from position  [6, 7]
Episode  1900 : the agent has obtained an average reward of  0.8  starting from position  [1, 8]
Episode  1910 : the agent has obtained an average reward of  0.68  starting from position  [2, 5]
Episode  1920 : the agent has obtained an average reward of  0.78  starting from position  [3, 7]
Episode  1930 : the agent has obtained an average reward of  0.8  starting from position  [6, 1]
Episode  1940 : the agent has obtained an average reward of  0.86  starting from position  [0, 8]
Episode  1950 : the agent has obtained an average reward of  0.86  starting from position  [1, 9]
Episode  1960 : the agent has obtained an average reward of  0.64  starting from position  [9, 8]
Episode  1970 : the agent has obtained an average reward of  0.9  starting from position  [2, 6]
Episode  1980 : the agent has obtained an average reward of  0.84  starting from position  [8, 3]
Episode  1990 : the agent has obtained an average reward of  0.9  starting from position  [3, 5]
Episode  2000 : the agent has obtained an average reward of  0.82  starting from position  [4, 8]
